"bta","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"bta","03_Gene Ontology","Biological_Process.gmt"
"cel","01_WormCat (Holdorf et al. 2020)","WormCat_Category_2.gmt"
"cel","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"cel","03_Gene Ontology","Biological_Process.gmt"
"cfa","02_Pathway","KEGG.gmt"
"cfa","03_Gene Ontology","Biological_Process.gmt"
"dre","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"dre","03_Gene Ontology","Biological_Process.gmt"
"dme","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"dme","03_Gene Ontology","Biological_Process.gmt"
"gga","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"gga","03_Gene Ontology","Biological_Process.gmt"
"hsa","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"hsa","03_Gene Ontology","Biological_Process.gmt"
"mmu","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"mmu","03_Gene Ontology","Biological_Process.gmt"
"rno","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"rno","03_Gene Ontology","Biological_Process.gmt"
"sce","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"sce","03_Gene Ontology","Biological_Process.gmt"
"ssc","02_Pathway","KEGG.gmt;WikiPathways.gmt;Reactome_Pathway.gmt"
"ssc","03_Gene Ontology","Biological_Process.gmt"
